target_chembl_id,pref_name
CHEMBL4128,Angiopoietin-1 receptor
CHEMBL4134,Ephrin type-A receptor 8
CHEMBL4142,Fibroblast growth factor receptor 2
CHEMBL4147,Calcium/calmodulin-dependent protein kinase type II subunit alpha
CHEMBL4175,Megakaryocyte-associated tyrosine-protein kinase
CHEMBL4179,Mitogen-activated protein kinase 9
CHEMBL4202,STE20-like serine/threonine-protein kinase
CHEMBL4203,Dual specificity protein kinase CLK4
CHEMBL4204,MAP kinase-interacting serine/threonine-protein kinase 2
CHEMBL4223,Tyrosine-protein kinase FRK
CHEMBL4224,Dual specificity protein kinase CLK1
CHEMBL4225,Dual specificity protein kinase CLK2
CHEMBL4226,Dual specificity protein kinase CLK3
CHEMBL4237,Ribosomal protein S6 kinase alpha-5
CHEMBL4246,Tyrosine-protein kinase Tec
CHEMBL4247,ALK tyrosine kinase receptor
CHEMBL4267,TGF-beta receptor type-2
CHEMBL4273,cGMP-dependent protein kinase 1
CHEMBL4282,RAC-alpha serine/threonine-protein kinase
CHEMBL4309,Serine/threonine-protein kinase Nek6
CHEMBL4311,Serine/threonine-protein kinase PAK 6
CHEMBL4355,Cyclin-G-associated kinase
CHEMBL4367,Tyrosine-protein kinase TXK
CHEMBL4375,SRSF protein kinase 1
CHEMBL4376,Dual specificity tyrosine-phosphorylation-regulated kinase 2
CHEMBL4439,TGF-beta receptor type-1
CHEMBL4454,Tyrosine-protein kinase Fgr
CHEMBL4482,Serine/threonine-protein kinase PAK 4
CHEMBL4487,Serine/threonine-protein kinase PAK 2
CHEMBL4501,Ribosomal protein S6 kinase beta-1
CHEMBL4516,Serine/threonine-protein kinase MRCK alpha
CHEMBL4522,BMP-2-inducible protein kinase
CHEMBL4523,Serine/threonine-protein kinase pim-2
CHEMBL4524,Serine/threonine-protein kinase PAK 5
CHEMBL4525,Serine/threonine-protein kinase 17A
CHEMBL4527,TRAF2 and NCK-interacting protein kinase
CHEMBL4574,Serine/threonine-protein kinase BRSK2
CHEMBL4575,Dual specificity tyrosine-phosphorylation-regulated kinase 3
CHEMBL4576,Homeodomain-interacting protein kinase 2
CHEMBL4577,Homeodomain-interacting protein kinase 3
CHEMBL4578,Maternal embryonic leucine zipper kinase
CHEMBL4597,Cyclin-dependent kinase 16
CHEMBL4598,Serine/threonine-protein kinase 4
CHEMBL4599,Activated CDC42 kinase 1
CHEMBL4600,Serine/threonine-protein kinase PAK 1
CHEMBL4601,Protein-tyrosine kinase 6
CHEMBL4602,Ephrin type-A receptor 7
CHEMBL4630,Serine/threonine-protein kinase Chk1
CHEMBL4670,MAP kinase-activated protein kinase 3
CHEMBL4674,Mitogen-activated protein kinase 12
CHEMBL4708,Serine/threonine-protein kinase 3
CHEMBL4718,MAP kinase-interacting serine/threonine-protein kinase 1
CHEMBL4722,Aurora kinase A
CHEMBL4766,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"
CHEMBL4816,RAC-gamma serine/threonine-protein kinase
CHEMBL4849,Serine/threonine-protein kinase Nek7
CHEMBL4852,Mitogen-activated protein kinase kinase kinase kinase 5
CHEMBL4895,Tyrosine-protein kinase receptor UFO
CHEMBL4896,Lymphokine-activated killer T-cell-originated protein kinase
CHEMBL4897,Serine/threonine-protein kinase PLK3
CHEMBL4898,BDNF/NT-3 growth factors receptor
CHEMBL4900,Serine/threonine-protein kinase D2
CHEMBL4901,Ephrin type-B receptor 3
CHEMBL4924,Ribosomal protein S6 kinase alpha-6
CHEMBL4937,Casein kinase I isoform epsilon
CHEMBL4948,Dual specificity mitogen-activated protein kinase kinase 5
CHEMBL4954,Ephrin type-A receptor 3
