target_chembl_id,pref_name
CHEMBL5668,SRSF protein kinase 2
CHEMBL5678,G protein-coupled receptor kinase 5
CHEMBL5679,Serine/threonine-protein kinase Nek3
CHEMBL5683,Serine/threonine-protein kinase DCLK1
CHEMBL5684,"Muscle, skeletal receptor tyrosine-protein kinase"
CHEMBL5698,NUAK family SNF1-like kinase 2
CHEMBL5699,Serine/threonine-protein kinase SIK2
CHEMBL5701,Serine/threonine-protein kinase TAO3
CHEMBL5703,Tyrosine-protein kinase Srms
CHEMBL5719,Cyclin-dependent kinase 8
CHEMBL5749,Mitogen-activated protein kinase kinase kinase kinase 1
CHEMBL5754,MAP/microtubule affinity-regulating kinase 4
CHEMBL5776,Mitogen-activated protein kinase kinase kinase 7
CHEMBL5784,NUAK family SNF1-like kinase 1
CHEMBL5785,"Interferon-induced, double-stranded RNA-activated protein kinase"
CHEMBL5794,Serine/threonine-protein kinase Sgk2
CHEMBL5810,Ephrin type-A receptor 1
CHEMBL5818,cAMP-dependent protein kinase catalytic subunit PRKX
CHEMBL5819,Serine/threonine-protein kinase Nek4
CHEMBL5855,Serine/threonine-protein kinase Nek1
CHEMBL5888,Mitogen-activated protein kinase kinase kinase 14
CHEMBL5903,Activin receptor type-1
CHEMBL5907,Serine/threonine-protein kinase LATS2
CHEMBL5914,Mitogen-activated protein kinase kinase kinase 2
CHEMBL5932,LIM domain kinase 2
CHEMBL5938,Serine/threonine-protein kinase PLK2
CHEMBL5940,Serine/threonine-protein kinase MARK1
CHEMBL5941,Serine/threonine-protein kinase 26
CHEMBL6003,Testis-specific serine/threonine-protein kinase 1
CHEMBL6005,Serine/threonine-protein kinase 33
CHEMBL6006,Serine/threonine-protein kinase ULK1
CHEMBL6014,Testis-specific serine/threonine-protein kinase 2
CHEMBL6029,Eukaryotic translation initiation factor 2-alpha kinase 1
CHEMBL6030,Eukaryotic translation initiation factor 2-alpha kinase 3
CHEMBL6054,PAS domain-containing serine/threonine-protein kinase
CHEMBL6082,Serine/threonine-protein kinase SIK1
CHEMBL6144,G protein-coupled receptor kinase 6
CHEMBL6149,Serine/threonine-protein kinase SIK3
CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4
CHEMBL6167,Serine/threonine-protein kinase LATS1
CHEMBL6186,Serine/threonine-protein kinase Sgk3
