"ChEMBL ID"	"Name"	"Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL4134"	"Ephrin type-A receptor 8"	"P29322"	"SINGLE PROTEIN"	"Homo sapiens"	"596"	"890"	"9606"	"False"
"CHEMBL3123"	"Death-associated protein kinase 2"	"Q9UIK4"	"SINGLE PROTEIN"	"Homo sapiens"	"547"	"821"	"9606"	"False"
"CHEMBL5650"	"Serine/threonine-protein kinase BRSK1"	"Q8TDC3"	"SINGLE PROTEIN"	"Homo sapiens"	"1555"	"2226"	"9606"	"False"
"CHEMBL1075173"	"Serine/threonine-protein kinase WNK1"	"Q9H4A3"	"SINGLE PROTEIN"	"Homo sapiens"	"302"	"391"	"9606"	"False"
"CHEMBL5607"	"Rhodopsin kinase GRK1"	"Q15835"	"SINGLE PROTEIN"	"Homo sapiens"	"388"	"533"	"9606"	"False"
"CHEMBL5546"	"Myosin-IIIa"	"Q8NEV4"	"SINGLE PROTEIN"	"Homo sapiens"	"268"	"323"	"9606"	"False"
"CHEMBL4574"	"Serine/threonine-protein kinase BRSK2"	"Q8IWQ3"	"SINGLE PROTEIN"	"Homo sapiens"	"991"	"1669"	"9606"	"False"
"CHEMBL5256"	"Calcium/calmodulin-dependent protein kinase kinase 1"	"Q8N5S9"	"SINGLE PROTEIN"	"Homo sapiens"	"446"	"574"	"9606"	"False"
"CHEMBL5940"	"Serine/threonine-protein kinase MARK1"	"Q9P0L2"	"SINGLE PROTEIN"	"Homo sapiens"	"1086"	"1765"	"9606"	"False"
"CHEMBL2358"	"Casein kinase II subunit beta"	"P67870"	"SINGLE PROTEIN"	"Homo sapiens"	"926"	"990"	"9606"	"False"
"CHEMBL1772932"	"Mitotic checkpoint serine/threonine-protein kinase BUB1"	"O43683"	"SINGLE PROTEIN"	"Homo sapiens"	"1564"	"4121"	"9606"	"False"
"CHEMBL2116"	"5'-AMP-activated protein kinase catalytic subunit alpha-2"	"P54646"	"SINGLE PROTEIN"	"Homo sapiens"	"1413"	"2907"	"9606"	"False"
"CHEMBL4014"	"Tyrosine-protein kinase ABL2"	"P42684"	"SINGLE PROTEIN"	"Homo sapiens"	"1229"	"2141"	"9606"	"False"
"CHEMBL1163123"	"Mitogen-activated protein kinase kinase kinase 6"	"O95382"	"SINGLE PROTEIN"	"Homo sapiens"	"469"	"592"	"9606"	"False"
"CHEMBL5668"	"SRSF protein kinase 2"	"P78362"	"SINGLE PROTEIN"	"Homo sapiens"	"580"	"909"	"9606"	"False"
"CHEMBL1163106"	"Serine/threonine-protein kinase MAK"	"P20794"	"SINGLE PROTEIN"	"Homo sapiens"	"271"	"293"	"9606"	"False"
"CHEMBL3559692"	"Cyclin-dependent kinase 12"	"Q9NYV4"	"SINGLE PROTEIN"	"Homo sapiens"	"502"	"1024"	"9606"	"False"
"CHEMBL5082"	"Serine/threonine-protein kinase 24"	"Q9Y6E0"	"SINGLE PROTEIN"	"Homo sapiens"	"843"	"1464"	"9606"	"False"
"CHEMBL1163128"	"Microtubule-associated serine/threonine-protein kinase 1"	"Q9Y2H9"	"SINGLE PROTEIN"	"Homo sapiens"	"247"	"271"	"9606"	"False"
"CHEMBL5095"	"Wee1-like protein kinase 2"	"P0C1S8"	"SINGLE PROTEIN"	"Homo sapiens"	"273"	"305"	"9606"	"False"
"CHEMBL2783"	"Cyclin-dependent kinase 5 activator 1"	"Q15078"	"SINGLE PROTEIN"	"Homo sapiens"	"34"	"88"	"9606"	"False"
"CHEMBL5416"	"Cyclin-dependent kinase 11A"	"Q9UQ88"	"SINGLE PROTEIN"	"Homo sapiens"	"291"	"394"	"9606"	"False"
"CHEMBL1293199"	"Serine/threonine-protein kinase VRK1"	"Q99986"	"SINGLE PROTEIN"	"Homo sapiens"	"299"	"343"	"9606"	"False"
"CHEMBL4141"	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial"	"Q16654"	"SINGLE PROTEIN"	"Homo sapiens"	"156"	"196"	"9606"	"False"
"CHEMBL2250"	"Tyrosine-protein kinase Blk"	"P51451"	"SINGLE PROTEIN"	"Homo sapiens"	"1930"	"3032"	"9606"	"False"
"CHEMBL5331"	"Tyrosine-protein kinase Mer"	"Q12866"	"SINGLE PROTEIN"	"Homo sapiens"	"4204"	"13577"	"9606"	"False"
"CHEMBL4376"	"Dual specificity tyrosine-phosphorylation-regulated kinase 2"	"Q92630"	"SINGLE PROTEIN"	"Homo sapiens"	"1783"	"2548"	"9606"	"False"
