molecule_chembl_id,target_chembl_id,pchembl_value,activity_type
CHEMBL103667,CHEMBL5684,5.72,inactive
CHEMBL103667,CHEMBL5719,6.66,active
CHEMBL103667,CHEMBL5810,5.01,inactive
CHEMBL103667,CHEMBL6166,7.05,active
CHEMBL103860,CHEMBL203,5.48,inactive
CHEMBL103860,CHEMBL258,6.0,inactive
CHEMBL103864,CHEMBL203,7.3,active
CHEMBL103960,CHEMBL258,4.38,inactive
CHEMBL104,CHEMBL4040,4.55,inactive
CHEMBL104067,CHEMBL1913,7.7,active
CHEMBL104067,CHEMBL2007,7.05,active
CHEMBL104119,CHEMBL260,5.62,inactive
CHEMBL104255,CHEMBL3797,4.55,inactive
CHEMBL104264,CHEMBL2431,6.23,inactive
CHEMBL104264,CHEMBL2973,6.53,active
CHEMBL104264,CHEMBL4237,6.92,active
CHEMBL104264,CHEMBL4282,5.66,inactive
CHEMBL104264,CHEMBL4501,7.1,active
CHEMBL104279,CHEMBL2815,7.43,active
CHEMBL104279,CHEMBL4898,8.12,active
CHEMBL104279,CHEMBL5608,8.16,active
CHEMBL104333,CHEMBL2599,8.3,active
CHEMBL104333,CHEMBL2815,7.88,active
CHEMBL104333,CHEMBL4898,7.6850000000000005,active
CHEMBL104333,CHEMBL5608,8.39,active
CHEMBL104409,CHEMBL5404,6.09,inactive
CHEMBL104468,CHEMBL2842,5.19,inactive
CHEMBL104468,CHEMBL3142,6.64,active
CHEMBL104519,CHEMBL2815,8.0,active
CHEMBL104519,CHEMBL4898,7.869999999999999,active
CHEMBL104519,CHEMBL5608,8.37,active
CHEMBL104644,CHEMBL3142,6.04,inactive
CHEMBL104682,CHEMBL3142,6.58,active
CHEMBL104749,CHEMBL260,7.615,active
CHEMBL105053,CHEMBL203,8.0,active
CHEMBL105082,CHEMBL260,7.43,active
CHEMBL1051,CHEMBL4040,4.9,inactive
CHEMBL105248,CHEMBL260,8.22,active
CHEMBL105256,CHEMBL3142,6.51,active
CHEMBL105310,CHEMBL4040,4.5,inactive
CHEMBL105421,CHEMBL2599,5.09,inactive
CHEMBL105436,CHEMBL267,7.5,active
CHEMBL105442,CHEMBL1906,8.61,active
CHEMBL105442,CHEMBL1913,5.51,inactive
CHEMBL105442,CHEMBL2964,7.1,active
CHEMBL105442,CHEMBL3587,7.34,active
CHEMBL105442,CHEMBL3629,7.77,active
CHEMBL105442,CHEMBL3935,5.75,inactive
CHEMBL105442,CHEMBL4147,5.47,inactive
CHEMBL105457,CHEMBL4040,5.5,inactive
CHEMBL105477,CHEMBL262,8.22,active
CHEMBL105521,CHEMBL3142,6.46,inactive
CHEMBL105612,CHEMBL3142,6.75,active
CHEMBL105613,CHEMBL3142,5.925,inactive
CHEMBL105620,CHEMBL262,8.1,active
CHEMBL105678,CHEMBL3142,6.8,active
CHEMBL105712,CHEMBL262,4.3,inactive
CHEMBL105712,CHEMBL4040,4.7,inactive
CHEMBL105739,CHEMBL279,7.4,active
CHEMBL105739,CHEMBL4040,5.0,inactive
CHEMBL105802,CHEMBL260,5.81,inactive
CHEMBL106061,CHEMBL262,7.15,active
CHEMBL106072,CHEMBL262,5.7,inactive
CHEMBL106118,CHEMBL260,5.89,inactive
CHEMBL106120,CHEMBL260,5.78,inactive
CHEMBL106213,CHEMBL258,8.52,active
CHEMBL106226,CHEMBL2815,6.99,active
CHEMBL106226,CHEMBL4898,8.07,active
CHEMBL106226,CHEMBL5608,8.05,active
CHEMBL106265,CHEMBL4040,5.8,inactive
CHEMBL106304,CHEMBL258,7.16,active
CHEMBL106328,CHEMBL260,6.02,inactive
CHEMBL106378,CHEMBL258,8.03,active
CHEMBL106384,CHEMBL262,7.48,active
CHEMBL106384,CHEMBL3045,7.34,active
CHEMBL106442,CHEMBL267,7.11,active
CHEMBL106457,CHEMBL258,8.62,active
CHEMBL106482,CHEMBL258,8.0,active
CHEMBL106543,CHEMBL3142,6.27,inactive
CHEMBL106654,CHEMBL258,8.15,active
CHEMBL106772,CHEMBL267,8.08,active
CHEMBL106772,CHEMBL3650,7.0,active
CHEMBL106772,CHEMBL3984,8.09,active
CHEMBL106822,CHEMBL258,7.96,active
CHEMBL106966,CHEMBL1913,6.35,inactive
CHEMBL106966,CHEMBL2007,6.11,inactive
CHEMBL107,CHEMBL2147,5.37,inactive
CHEMBL107048,CHEMBL258,8.7,active
CHEMBL1071,CHEMBL4040,5.125,inactive
CHEMBL107131,CHEMBL4040,4.5,inactive
CHEMBL107183,CHEMBL258,6.62,active
CHEMBL107225,CHEMBL2534,6.58,active
CHEMBL107225,CHEMBL5404,7.21,active
CHEMBL1076204,CHEMBL5145,7.52,active
CHEMBL1076206,CHEMBL5145,9.3,active
CHEMBL1076221,CHEMBL2148,6.44,inactive
CHEMBL1076221,CHEMBL2971,6.3,inactive
CHEMBL1076233,CHEMBL5145,9.0,active
CHEMBL1076439,CHEMBL5145,6.86,active
CHEMBL1076440,CHEMBL5145,7.47,active
CHEMBL1076441,CHEMBL5145,7.4,active
CHEMBL1076482,CHEMBL5145,7.42,active
CHEMBL1076497,CHEMBL5145,7.36,active
CHEMBL1076541,CHEMBL5145,6.66,active
CHEMBL1076555,CHEMBL4040,4.5,inactive
CHEMBL1076560,CHEMBL260,8.64,active
CHEMBL1076735,CHEMBL1844,5.77,inactive
CHEMBL1076741,CHEMBL260,8.8,active
CHEMBL1077116,CHEMBL2637,4.9,inactive
CHEMBL1077129,CHEMBL2637,6.2,inactive
CHEMBL1077132,CHEMBL2637,5.2,inactive
CHEMBL1077137,CHEMBL2637,5.0,inactive
CHEMBL1077213,CHEMBL262,7.92,active
CHEMBL1077218,CHEMBL262,7.74,active
CHEMBL1077233,CHEMBL262,7.3,active
CHEMBL1077243,CHEMBL262,7.01,active
CHEMBL1077258,CHEMBL262,5.14,inactive
CHEMBL1077260,CHEMBL262,5.38,inactive
CHEMBL1077282,CHEMBL262,4.98,inactive
CHEMBL1077291,CHEMBL3980,6.21,inactive
CHEMBL1077317,CHEMBL1862,6.32,inactive
CHEMBL1077324,CHEMBL1957,6.48,inactive
CHEMBL1077325,CHEMBL1957,6.39,inactive
CHEMBL1077339,CHEMBL1957,7.54,active
CHEMBL1077375,CHEMBL2973,8.56,active
CHEMBL1077458,CHEMBL2971,6.055,inactive
CHEMBL1077512,CHEMBL4901,4.7,inactive
CHEMBL1077571,CHEMBL4901,7.11,active
CHEMBL1077575,CHEMBL2148,6.82,active
CHEMBL1077738,CHEMBL4901,4.7,inactive
CHEMBL1077739,CHEMBL4901,7.1,active
CHEMBL1077740,CHEMBL4901,6.64,active
