ChEMBL ID,Name,Accessions,Type,Organism,Compounds,Activities
CHEMBL2553,Ribosomal protein S6 kinase alpha-1,Q15418,SINGLE PROTEIN,Homo sapiens,1825,3281
CHEMBL5579,Citron Rho-interacting kinase,O14578,SINGLE PROTEIN,Homo sapiens,575,720
CHEMBL6082,Serine/threonine-protein kinase SIK1,P57059,SINGLE PROTEIN,Homo sapiens,997,1648
CHEMBL4849,Serine/threonine-protein kinase Nek7,Q8TDX7,SINGLE PROTEIN,Homo sapiens,1187,2081
CHEMBL4375,SRSF protein kinase 1,Q96SB4,SINGLE PROTEIN,Homo sapiens,1880,3083
CHEMBL5888,Mitogen-activated protein kinase kinase kinase 14,Q99558,SINGLE PROTEIN,Homo sapiens,1658,3230
CHEMBL5819,Serine/threonine-protein kinase Nek4,P51957,SINGLE PROTEIN,Homo sapiens,983,1067
CHEMBL5415,SRSF protein kinase 3,Q9UPE1,SINGLE PROTEIN,Homo sapiens,955,1574
CHEMBL4896,Lymphokine-activated killer T-cell-originated protein kinase,Q96KB5,SINGLE PROTEIN,Homo sapiens,978,1028
CHEMBL2801,Calcium/calmodulin-dependent protein kinase type II subunit delta,Q13557,SINGLE PROTEIN,Homo sapiens,2027,2968
CHEMBL4134,Ephrin type-A receptor 8,P29322,SINGLE PROTEIN,Homo sapiens,596,890
CHEMBL3123,Death-associated protein kinase 2,Q9UIK4,SINGLE PROTEIN,Homo sapiens,547,821
CHEMBL5650,Serine/threonine-protein kinase BRSK1,Q8TDC3,SINGLE PROTEIN,Homo sapiens,1555,2226
CHEMBL4574,Serine/threonine-protein kinase BRSK2,Q8IWQ3,SINGLE PROTEIN,Homo sapiens,991,1669
CHEMBL5940,Serine/threonine-protein kinase MARK1,Q9P0L2,SINGLE PROTEIN,Homo sapiens,1086,1765
CHEMBL2358,Casein kinase II subunit beta,P67870,SINGLE PROTEIN,Homo sapiens,926,990
CHEMBL1772932,Mitotic checkpoint serine/threonine-protein kinase BUB1,O43683,SINGLE PROTEIN,Homo sapiens,1564,4121
CHEMBL2116,5'-AMP-activated protein kinase catalytic subunit alpha-2,P54646,SINGLE PROTEIN,Homo sapiens,1413,2907
CHEMBL4014,Tyrosine-protein kinase ABL2,P42684,SINGLE PROTEIN,Homo sapiens,1229,2141
CHEMBL5668,SRSF protein kinase 2,P78362,SINGLE PROTEIN,Homo sapiens,580,909
CHEMBL3559692,Cyclin-dependent kinase 12,Q9NYV4,SINGLE PROTEIN,Homo sapiens,502,1024
CHEMBL5082,Serine/threonine-protein kinase 24,Q9Y6E0,SINGLE PROTEIN,Homo sapiens,843,1464
CHEMBL2250,Tyrosine-protein kinase Blk,P51451,SINGLE PROTEIN,Homo sapiens,1930,3032
CHEMBL5331,Tyrosine-protein kinase Mer,Q12866,SINGLE PROTEIN,Homo sapiens,4204,13577
CHEMBL4376,Dual specificity tyrosine-phosphorylation-regulated kinase 2,Q92630,SINGLE PROTEIN,Homo sapiens,1783,2548
