target_chembl_id,assay_chembl_id,confidence_score,assay_type
CHEMBL5638,CHEMBL4885369,9,B
CHEMBL5638,CHEMBL4886300,9,B
CHEMBL5638,CHEMBL4887971,9,B
CHEMBL5638,CHEMBL5058292,9,B
CHEMBL5638,CHEMBL5059239,9,B
CHEMBL5638,CHEMBL5059782,9,B
CHEMBL5638,CHEMBL5158079,9,B
CHEMBL5638,CHEMBL5252685,9,B
CHEMBL5638,CHEMBL5252695,9,B
CHEMBL5638,CHEMBL5252706,9,B
CHEMBL5638,CHEMBL5464633,9,B
CHEMBL5638,CHEMBL5465011,9,B
CHEMBL5638,CHEMBL5465900,9,B
CHEMBL5638,CHEMBL5466779,9,B
CHEMBL5638,CHEMBL5467161,9,B
CHEMBL5638,CHEMBL5467604,9,B
CHEMBL5638,CHEMBL5468058,9,B
CHEMBL5638,CHEMBL5468817,9,B
CHEMBL5638,CHEMBL5468818,9,B
CHEMBL5638,CHEMBL5469729,9,B
CHEMBL5638,CHEMBL5469730,9,B
CHEMBL5638,CHEMBL5472420,9,B
CHEMBL5638,CHEMBL5472954,9,B
CHEMBL5638,CHEMBL5473415,9,B
CHEMBL5638,CHEMBL5473892,9,B
CHEMBL5638,CHEMBL5474838,9,B
CHEMBL5638,CHEMBL5475527,9,B
CHEMBL5638,CHEMBL5476132,9,B
CHEMBL5638,CHEMBL5477205,9,B
CHEMBL5638,CHEMBL5477707,9,B
CHEMBL5638,CHEMBL5478493,9,B
CHEMBL5638,CHEMBL5479297,9,B
CHEMBL5638,CHEMBL5480126,9,B
CHEMBL5638,CHEMBL5480713,9,B
CHEMBL5638,CHEMBL5481763,9,B
CHEMBL5638,CHEMBL5481764,9,B
CHEMBL5638,CHEMBL5649539,9,B
CHEMBL5638,CHEMBL5649848,9,B
CHEMBL5638,CHEMBL5654951,9,B
CHEMBL5638,CHEMBL5655241,9,B
CHEMBL5638,CHEMBL5655531,9,B
CHEMBL5638,CHEMBL5658508,9,B
CHEMBL5638,CHEMBL5658919,9,B
CHEMBL5638,CHEMBL5659875,9,B
CHEMBL5638,CHEMBL5660200,9,B
CHEMBL5638,CHEMBL5660525,9,B
CHEMBL5638,CHEMBL5660849,9,B
CHEMBL5638,CHEMBL5661173,9,B
CHEMBL5638,CHEMBL5661497,9,B
CHEMBL5638,CHEMBL5675233,9,B
CHEMBL5638,CHEMBL5679512,9,B
CHEMBL5638,CHEMBL5679745,9,B
CHEMBL5638,CHEMBL5681861,9,B
CHEMBL5638,CHEMBL5682121,9,B
CHEMBL5638,CHEMBL5683150,9,B
CHEMBL5638,CHEMBL5683587,9,B
CHEMBL5638,CHEMBL5685739,9,B
CHEMBL5638,CHEMBL5686324,9,B
CHEMBL5638,CHEMBL5686792,9,B
CHEMBL5638,CHEMBL5702096,9,B
CHEMBL5638,CHEMBL5703046,9,B
CHEMBL5638,CHEMBL5705264,9,B
CHEMBL5638,CHEMBL5709749,9,B
CHEMBL5638,CHEMBL5711280,9,B
CHEMBL5638,CHEMBL5717178,9,B
CHEMBL5638,CHEMBL5720475,9,B
CHEMBL5638,CHEMBL5720824,9,B
CHEMBL5638,CHEMBL5724247,9,B
CHEMBL5579,CHEMBL1032272,8,B
CHEMBL5579,CHEMBL1062838,9,B
CHEMBL5579,CHEMBL1052893,8,B
CHEMBL5579,CHEMBL1038691,8,B
CHEMBL5579,CHEMBL1114869,8,B
CHEMBL5579,CHEMBL1168831,8,B
CHEMBL5579,CHEMBL1174176,8,B
CHEMBL5579,CHEMBL1244769,8,B
CHEMBL5579,CHEMBL1826899,8,B
CHEMBL5579,CHEMBL1908762,8,B
CHEMBL5579,CHEMBL2014914,8,B
CHEMBL5579,CHEMBL2209323,8,B
